wavenumber,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
1117.2278,-0.02066499425122432,0.047430821424986225,0.01506667535292621,0.05172002188514812,0.05114792199583687,0.05104528990666584,-0.016441271814639422,0.010278579823321775,-0.02621555278216092,0.006036496297298411,0.0007200087012487329,0.004663868001196022,0.011864355681278915,-0.008743497226340687,0.007107274160648808,0.0036849504252493906,-0.013616922386484239,-0.01630502472531145,0.008562164770232155,-0.019032502754317688
1118.1302,-0.015425023859336643,0.0663996006620169,0.03496618252440202,0.0676100186847484,0.05950919619977031,0.060527305690519,-0.007963541308347344,0.023541871920315705,0.01639443659510233,-0.0008862904322110073,0.007936730696940137,0.0076134917247007335,0.011739579494454479,-0.01275903042858757,0.019513833415037075,0.02230748852395328,0.017260600160059137,-0.00294982910486437,0.018674353197338723,-0.00587290146909348
1119.031,0.006678954111799181,0.0958286965123297,0.055207784735915484,0.07454955297814163,0.08919300595571579,0.07629301938214314,0.0064792140993549675,0.036339091074842296,0.06256761279664684,0.017135337410466356,0.02225348677258732,0.022820044832314645,0.010999870409257019,0.005483111201271596,0.03371530973312777,0.03736761506632751,0.047565222604515074,0.003974874945462225,0.030625262865720992,0.005097911032534671
1119.9316,0.032631977972759324,0.1305536545534921,0.08550850669173551,0.0954046722487414,0.1166959484259483,0.08449183061171277,0.031390066046187236,0.05377996157951118,0.044047125842573025,0.036012885913370964,0.047180639500230784,0.04036882431142119,0.029506558312762745,0.024580284195582638,0.049664835838962376,0.05550204640725863,0.07978984781422743,0.021995512006926402,0.058468673480582246,0.02675060534967864
1120.8323,0.07474080757144762,0.15203833650654128,0.10507794107739275,0.12265684780550651,0.1376865997128286,0.11580384681693738,0.0750946294706251,0.07680878370134563,0.05905076343703946,0.05451377838689764,0.0837138938067924,0.06914843579369381,0.059223094598592534,0.057575664464941986,0.08532960851336016,0.082207417068466,0.11860192465523119,0.059054539392955956,0.08045414867348123,0.055278273584868164
1121.7312,0.12119507778306854,0.19140122068526255,0.13618352687715526,0.14809662222429398,0.17233165870617617,0.14133007465257913,0.1255840098455132,0.08910759445364885,0.08898231529514318,0.0811460324065119,0.11635186708268268,0.10215594159365658,0.08929052395504392,0.09174794028192265,0.11565076419575156,0.11544286707843507,0.15279365335378312,0.09634794518965814,0.10937122563165888,0.08813563696728942
1122.6317,0.13058228220722617,0.21822115580571505,0.17863761871711703,0.1758852704898098,0.2022150900608701,0.17659373994819255,0.17450982871127593,0.11334135042576748,0.14255987284281502,0.11257558915123334,0.14995418452427825,0.13664948156004855,0.11990648724251397,0.12059435681299684,0.15070387696747709,0.15179391034079243,0.21024256775050648,0.13653830748419482,0.1374307846916239,0.12170719576445488
1123.5321,0.17965127211246312,0.24219083292925772,0.21921002974734283,0.21591354185380435,0.22096170741077684,0.2075899405798172,0.21174903601123926,0.15480353216813653,0.15689724120863333,0.15158059814832273,0.17893304158346632,0.1727313401593917,0.16427036589478938,0.16600400866725812,0.1833461402703719,0.18969469230005317,0.24835512420037847,0.17210821365868448,0.17773035521573624,0.16011550067494895
1124.4308,0.21504249180850432,0.267662913587056,0.24624987870478418,0.23912496432274896,0.21966950294711232,0.22687733877626656,0.23363810081833683,0.18686482897150053,0.20237638989324655,0.19415432422904066,0.21780527483802045,0.2179007389069827,0.18939264689276186,0.20511186155231614,0.21614306989325735,0.22362444136363097,0.29446482596921325,0.21898304671597424,0.22542242698153522,0.19738617464188812
1125.3311,0.2309428552349936,0.2769261871203576,0.25588081684061376,0.2579336185402053,0.23078914679366372,0.24168055035911698,0.26988700632284246,0.22677159666131347,0.22757881849000833,0.23608704451631868,0.24762212199722403,0.24864892245952352,0.22260676644407346,0.24221141079190625,0.25003493881115474,0.24892280651067766,0.3171990820258339,0.25350348987475874,0.2633470359627321,0.24080701674367766
